GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice3,com.example,Fib,0,60,0,4,0,16,0,4,0,2
exercice3,com.example,Main,21,0,2,0,5,0,3,0,2,0
