GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice8,com.example,ReservationResult.Accepted,0,6,0,0,0,1,0,1,0,1
exercice8,com.example,Reservation,0,18,0,0,0,1,0,1,0,1
exercice8,com.example,RoomReservationService,0,114,0,14,0,23,0,10,0,3
exercice8,com.example,Room,0,12,0,0,0,1,0,1,0,1
exercice8,com.example,ReservationResult.Rejected,0,6,0,0,0,1,0,1,0,1
exercice8,com.example,Main,7,0,0,0,3,0,2,0,2,0
