GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice4,com.example,PasswordValidator,0,153,3,33,0,31,3,22,0,7
exercice4,com.example,Main,21,0,2,0,5,0,3,0,2,0
