GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo_tdd_mockito,com.example,RechercheVille,0,101,0,4,0,7,0,5,0,3
demo_tdd_mockito,com.example,NotFoundException,0,3,0,0,0,1,0,1,0,1
